тикер,полное название,кол-во акций,размер лота,цена 1 акции
ABIO,"ПАО ""Артген""",92645451,10,90.94
ABRD,Абрау-Дюрсо ПАО ао,98000184,10,200.4
ACKO,АСКО ПАО ао,536000000,100,
AFKS,"АФК ""Система"" ПАО ао",9650000000,100,14.665
AFLT,Аэрофлот-росс.авиалин(ПАО)ао,3975771215,10,59.75
AGRO,ГДР ROS AGRO PLC ORD SHS,0,1,
AKRN,Акрон ПАО ао,36757156,1,17728.0
ALRS,АЛРОСА ПАО ао,7364965630,10,54.8
AMEZ,Ашинский метзавод ПАО ао,498454822,100,70.45
APRI,АПРИ,1115439217,10,12.726
APTK,"ПАО ""Аптечная сеть 36,6"" ао",7630433826,10,12.01
AQUA,ПАО ИНАРКТИКА,87876649,1,640.5
ARSA,УК Арсагера ПАО-ао,123817165,100,11.32
ASSB,"""Астраханская ЭСК"" ПАО",773900078,1000,1.915
ASTR,Группа Астра ао,210000000,1,518.1
AVAN,"АКБ ""АВАНГАРД"" ПАО ао",80700000,1,762.0
BANE,Башнефть АНК ао,147846489,1,2532.0
BANEP,Башнефть АНК ап,29788012,1,1374.0
BELU,НоваБев Групп ПАО ао,126400000,1,497.0
BISVP,Башинформсвязь(ПАО) ап,36165270,100,10.3
BLNG,Белон ОАО ао,1150000000,100,16.12
BRZL,Бурятзолото ПАО ао,7027270,1,2049.0
BSPB,"ПАО ""Банк ""Санкт-Петербург"" ао",457544031,10,376.53
BSPBP,Банк Санкт-Петербург ап,20100000,100,59.6
CARM,СТГ ао,2203330301,100,1.589
CBOM,"""МКБ"" ПАО ао",33429709866,100,9.526
CHGZ,РН-Западная Сибирь ПАО ао,26771420,10,92.8
CHKZ,"""ЧКПЗ"" ПАО ао",600216,1,18750.0
CHMF,Северсталь (ПАО)ао,837718660,1,1245.6
CHMK,"""ЧМК"" ПАО ао",3161965,1,7050.0
CIAN,АДР Cian PLC ORD SHS,0,1,566.0
CNTL,"""Центральный Телеграф"" ПАО ао",166167000,100,11.14
CNTLP,"""Центральный Телеграф"" ПАО ап",55389000,100,7.8
DATA,Группа Аренадата,209160464,1,145.4
DELI,Каршеринг Руссия ао,175849057,1,222.8
DIAS,Диасофт ао,10500000,1,4428.0
DIOD,Завод ДИОД ПАО ао,91500000,100,11.02
DSKY,ПАО Детский мир,739000000,10,
DVEC,"""ДЭК"" ПАО ао",17223107804,1000,2.455
DZRD,Донской завод радиодеталей ао,343407,1,4235.0
DZRDP,Донской завод радиодеталей ап,114469,1,2820.0
EELT,"""ЕвропЭлектротехника"" ПАО ао",551813000,10,12.9
ELFV,"""ЭЛ5-Энерго"" ПАО",35371898370,1000,0.55
ELMT,Элемент,469725539040,1000,0.1624
ENPG,МКПАО ЭН+ ГРУП ао,638848896,1,370.85
ETLN,ГДР ETALON GROUP PLC ORD SHS,0,1,65.4
EUTR,ЕвроТранс ао,159148665,1,113.1
FEES,"""ФСК - Россети"" ПАО",2113460101477,10000,0.07836
FESH,ДВ морское пароходство ПАО ао,2951250000,10,59.92
FIXP,ГДР FixPrice Group PLC ORD SHS,0,1,171.8
FLOT,Совкомфлот ао,2374993901,10,87.65
GAZA,ГАЗ ПАО ао,18520260,10,733.0
GAZAP,ГАЗ ПАО ап,1453500,10,401.0
GAZC,ГАЗКОН (ПАО) ао,225381601,10,
GAZP,"""Газпром"" (ПАО) ао",23673512900,10,137.09
GAZS,ГАЗ-сервис (ПАО) ао,206508967,10,
GAZT,ГАЗ-Тек ПАО ао,471428300,10,
GCHE,Группа Черкизово ПАО-ао,42222042,1,4444.0
GECO,ЦГРМ ГЕНЕТИКО ао,83000000,10,30.92
GEMA,ПАО ММЦБ ао,14929920,10,133.7
GEMC,Юнайтед Медикал Груп ПАО,90000000,1,845.9
GMKN,"ГМК ""Нор.Никель"" ПАО ао",15286339700,10,122.8
GTRK,"ПАО ""ГТМ"" ао",58462120,10,252.7
HEAD,МКПАО Хэдхантер,47184918,1,3758.0
HIMCP,Химпром ПАО ап,229631402,100,25.04
HNFG,ХЭНДЕРСОН ао,40444445,1,682.0
HYDR,"ПАО ""РусГидро""",444793377038,1000,0.5411
IGST,Ижсталь ПАО ао 2в.,800729,1,7320.0
IGSTP,Ижсталь ПАО ап,266910,1,5140.0
INGR,ИНГРАД ПАО ао,41220793,1,1778.0
IRAO,"""Интер РАО"" ПАО ао",104400000000,100,3.749
IRKT,"""Яковлев"" ПАО ак.об.-3",12051279624,100,28.25
IVAT,ПАО ИВА ао,100000000,1,234.7
JNOS,Славнефть-ЯНОС (ПАО) ао,932654723,100,20.3
JNOSP,Славнефть-ЯНОС (ПАО) ап,310884574,100,12.08
KAZT,Куйбышевазот ПАО ао,234147999,10,524.8
KAZTP,Куйбышевазот ПАО ап,3696506,10,526.5
KBSB,ТНС энерго Кубань ПАО ао,17869440,10,572.0
KCHE,Камчатскэнерго ПАО ао,58294409860,10000,0.59
KCHEP,Камчатскэнерго ПАО ап,183062052,10000,1.045
KGKC,Курганская генер.комп.ПАО ао,122453406,10,47.2
KGKCP,Курганская генер. комп. ПАО ап,14393052,10,52.6
KLSB,"ао""Калужская сбыт.комп.""ПАО",91487347,100,24.91
KLVZ,Алкогольная Группа Кристалл,921052700,100,4.132
KMAZ,КАМАЗ ПАО,707229559,10,124.2
KMEZ,Ковровский механический завод,3764600,1,1242.0
KOGK,Коршуновский ГОК ПАО ао,250126,1,
KRKN,Саратовский НПЗ ПАО ао,748012,1,9350.0
KRKNP,Саратовский НПЗ ПАО ап,249337,1,8180.0
KRKOP,ТКЗ Красный котельщик ПАО ап,71086000,100,14.44
KROT,"""КрасныйОктябрь"" ПАО - ао",9217583,10,1626.0
KROTP,КрасныйОктябрь-1п,1474549,10,532.0
KRSB,Красноярскэнергосбыт ао,596039612,100,16.38
KRSBP,Красноярскэнергосбыт ап,168993328,100,16.44
KUZB,"Банк ""Кузнецкий"" ПАО ао",22503490875,10000,0.03745
KZOS,"ПАО ""Органический синтез"" ао",1785114000,10,86.8
KZOSP,"ПАО ""Органический синтез"" ап",119596000,10,21.11
LEAS,ПАО «ЛК «Европлан»,120000000,1,685.7
LENT,Лента МКПАО ао,115985197,1,1328.0
LIFE,Фармсинтез ПАО ао,440394854,100,4.22
LKOH,НК ЛУКОЙЛ (ПАО) - ао,692865762,1,7176.0
LMBZ,Ламбумиз,20752219,1,419.95
LNZL,"""Лензолото"" ПАО ао",1140300,1,14930.0
LNZLP,"""Лензолото"" ПАО ап",347700,1,1805.0
LPSB,Липецкая энергосбыт.ком.ОАО ао,155521950,100,72.75
LSNG,Россети Ленэнерго ПАО-ао,8523785320,100,15.31
LSNGP,Россети Ленэнерго ПАО-ап,93264311,10,219.7
LSRG,Группа ЛСР ПАО ао,103030215,1,863.0
LVHK,Левенгук ПАО ао,52940000,100,32.15
MAGE,"""Магаданэнерго"" ПАО ао",463838268,100,3.7
MAGEP,"""Магаданэнерго"" ПАО ап",145673254,100,2.68
MAGN,"""Магнитогорск.мет.комб"" ПАО ао",11174330000,10,36.62
MBNK,МТС-Банк ао,34629063,1,1408.5
MDMG,МКПАО «МД Медикал Груп»,75125010,1,964.6
MFGS,"ао ""Славнефть-Мегионнефтегаз""",99474705,10,413.0
MFGSP,ап Мегионнефтегаз,33056875,10,276.0
MGKL,МГКЛ ао,1268545000,100,2.4825
MGNT,"""Магнит"" ПАО ао",101911355,1,4681.0
MGNZ,Соликамский магн.завод(ОАО)ао,398272,1,
MGTS,"ПАО ""МГТС"" ао (5 в)",79708751,1,1310.0
MGTSP,"ПАО ""МГТС"" ап (4 в)",15514042,1,882.0
MISB,ТНС энерго Марий Эл ПАО ао,121847780,100,62.9
MISBP,ТНС энерго Марий Эл ПАО ап,10652220,100,57.9
MOEX,ПАО Московская Биржа,2276401458,10,204.75
MRKC,"ПАО ""Россети Центр"" ао",42217941468,1000,0.492
MRKK,Россети Сев. Кавказ ао,2093354170,10,18.16
MRKP,Россети Центр и Приволжье ао,112697817043,10000,0.3638
MRKS,Россети Сибирь ао,94815163249,1000,0.592
MRKU,Россети Урал (ПАО) ао,87430485711,10000,0.397
MRKV,Россети Волга ао,188307958732,10000,0.07
MRKY,Россети Юг  (ПАО) ао,151641426354,10000,0.0669
MRKZ,ПАО Россети Северо-Запад ао,95785923138,10000,0.0655
MRSB,Мордовск.энергсбыт.комп.ПАО ао,1345037710,10000,0.83
MSNG,МосЭнерго акции обыкн.,39749359700,1000,2.515
MSRS,ПАО Россети Моск.рег. ао,48707091574,1000,1.289
MSTT,"ПАО ""МОСТОТРЕСТ"" ао",282215500,10,153.6
MTLR,Мечел ПАО ао,416270745,1,112.99
